file,roi,corrtype,hemi,cb_idx,nvoxels,t
perm_vsm4_IPS1_rh_pearson_tstat1.nii,IPS1,pearson,rh,3.0,183,11.32
perm_vsm4_IPS1_rh_pearson_tstat1.nii,IPS1,pearson,rh,4.0,159,9.19
perm_vsm4_IPS1_rh_pearson_tstat1.nii,IPS1,pearson,rh,5.0,159,11.69
perm_vsm4_IPS1_rh_pearson_tstat1.nii,IPS1,pearson,rh,6.0,124,11.43
perm_vsm4_IPS1_rh_pearson_tstat1.nii,IPS1,pearson,rh,7.0,32,10.56
perm_vsm4_IPS1_rh_pearson_tstat1.nii,IPS1,pearson,rh,8.0,67,8.60
perm_vsm4_IPS1_rh_pearson_tstat1.nii,IPS1,pearson,rh,9.0,17,8.09
perm_vsm4_IPS1_rh_pearson_tstat1.nii,IPS1,pearson,rh,10.0,38,7.73
perm_vsm4_IPS1_bilat_pearson_tstat1.nii,IPS1,pearson,bilat,0.0,901616,0.10
perm_vsm4_IPS1_bilat_pearson_tstat1.nii,IPS1,pearson,bilat,1.0,75,11.50
perm_vsm4_IPS1_bilat_pearson_tstat1.nii,IPS1,pearson,bilat,2.0,159,13.90
perm_vsm4_IPS1_bilat_pearson_tstat1.nii,IPS1,pearson,bilat,3.0,183,13.14
perm_vsm4_IPS1_bilat_pearson_tstat1.nii,IPS1,pearson,bilat,4.0,159,10.62
perm_vsm4_IPS1_bilat_pearson_tstat1.nii,IPS1,pearson,bilat,5.0,159,12.73
perm_vsm4_IPS1_bilat_pearson_tstat1.nii,IPS1,pearson,bilat,6.0,124,12.86
perm_vsm4_IPS1_bilat_pearson_tstat1.nii,IPS1,pearson,bilat,7.0,32,11.84
perm_vsm4_IPS1_bilat_pearson_tstat1.nii,IPS1,pearson,bilat,8.0,67,9.57
perm_vsm4_IPS1_bilat_pearson_tstat1.nii,IPS1,pearson,bilat,9.0,17,9.17
perm_vsm4_IPS1_bilat_pearson_tstat1.nii,IPS1,pearson,bilat,10.0,38,8.76
perm_vsm4_IPS1_lh_partial_tstat1.nii,IPS1,partial,lh,0.0,901616,0.06
perm_vsm4_IPS1_lh_partial_tstat1.nii,IPS1,partial,lh,1.0,75,6.86
perm_vsm4_IPS1_lh_partial_tstat1.nii,IPS1,partial,lh,2.0,159,8.13
perm_vsm4_IPS1_lh_partial_tstat1.nii,IPS1,partial,lh,3.0,183,6.42
perm_vsm4_IPS1_lh_partial_tstat1.nii,IPS1,partial,lh,4.0,159,5.25
perm_vsm4_IPS1_lh_partial_tstat1.nii,IPS1,partial,lh,5.0,159,5.44
perm_vsm4_IPS1_lh_partial_tstat1.nii,IPS1,partial,lh,6.0,124,6.66
perm_vsm4_IPS1_lh_partial_tstat1.nii,IPS1,partial,lh,7.0,32,6.42
perm_vsm4_IPS1_lh_partial_tstat1.nii,IPS1,partial,lh,8.0,67,4.99
perm_vsm4_IPS1_lh_partial_tstat1.nii,IPS1,partial,lh,9.0,17,5.10
perm_vsm4_IPS1_lh_partial_tstat1.nii,IPS1,partial,lh,10.0,38,4.61
perm_vsm4_IPS1_rh_partial_tstat1.nii,IPS1,partial,rh,0.0,901616,0.04
perm_vsm4_IPS1_rh_partial_tstat1.nii,IPS1,partial,rh,1.0,75,4.33
perm_vsm4_IPS1_rh_partial_tstat1.nii,IPS1,partial,rh,2.0,159,5.07
perm_vsm4_IPS1_rh_partial_tstat1.nii,IPS1,partial,rh,3.0,183,5.96
perm_vsm4_IPS1_rh_partial_tstat1.nii,IPS1,partial,rh,4.0,159,4.75
perm_vsm4_IPS1_rh_partial_tstat1.nii,IPS1,partial,rh,5.0,159,7.14
perm_vsm4_IPS1_rh_partial_tstat1.nii,IPS1,partial,rh,6.0,124,6.29
perm_vsm4_IPS1_rh_partial_tstat1.nii,IPS1,partial,rh,7.0,32,6.01
perm_vsm4_IPS1_rh_partial_tstat1.nii,IPS1,partial,rh,8.0,67,5.06
perm_vsm4_IPS1_rh_partial_tstat1.nii,IPS1,partial,rh,9.0,17,4.36
perm_vsm4_IPS1_rh_partial_tstat1.nii,IPS1,partial,rh,10.0,38,4.30
perm_vsm4_IPS2_lh_pearson_tstat1.nii,IPS2,pearson,lh,0.0,901616,0.09
perm_vsm4_IPS2_lh_pearson_tstat1.nii,IPS2,pearson,lh,1.0,75,11.77
perm_vsm4_IPS2_lh_pearson_tstat1.nii,IPS2,pearson,lh,2.0,159,13.89
perm_vsm4_IPS2_lh_pearson_tstat1.nii,IPS2,pearson,lh,3.0,183,12.18
perm_vsm4_IPS2_lh_pearson_tstat1.nii,IPS2,pearson,lh,4.0,159,9.91
perm_vsm4_IPS2_lh_pearson_tstat1.nii,IPS2,pearson,lh,5.0,159,10.55
perm_vsm4_IPS2_lh_pearson_tstat1.nii,IPS2,pearson,lh,6.0,124,11.09
perm_vsm4_IPS2_lh_pearson_tstat1.nii,IPS2,pearson,lh,7.0,32,10.69
perm_vsm4_IPS2_lh_pearson_tstat1.nii,IPS2,pearson,lh,8.0,67,8.53
perm_vsm4_IPS2_lh_pearson_tstat1.nii,IPS2,pearson,lh,9.0,17,8.46
perm_vsm4_IPS2_lh_pearson_tstat1.nii,IPS2,pearson,lh,10.0,38,7.88
