"","file","roi","corrtype","hemi","cb_idx","nvoxels","t"
"112","perm_vsm4_IPS1_lh_pearson_tstat1.nii","IPS1","pearson","lh","right_lVIIIb","75","11.38"
"113","perm_vsm4_IPS1_lh_pearson_tstat1.nii","IPS1","pearson","lh","right_mVIIIb","159","13.49"
"114","perm_vsm4_IPS1_lh_pearson_tstat1.nii","IPS1","pearson","lh","left_mVIIIb","183","12.57"
"115","perm_vsm4_IPS1_lh_pearson_tstat1.nii","IPS1","pearson","lh","left_lVIIIb","159","9.83"
"116","perm_vsm4_IPS1_lh_pearson_tstat1.nii","IPS1","pearson","lh","left_VIIb","159","11.55"
"117","perm_vsm4_IPS1_lh_pearson_tstat1.nii","IPS1","pearson","lh","right_VIIb","124","12.19"
"118","perm_vsm4_IPS1_lh_pearson_tstat1.nii","IPS1","pearson","lh","left_mOMV","32","11.27"
"119","perm_vsm4_IPS1_lh_pearson_tstat1.nii","IPS1","pearson","lh","left_lOMV","67","9.11"
"120","perm_vsm4_IPS1_lh_pearson_tstat1.nii","IPS1","pearson","lh","right_mOMV","17","8.7"
"121","perm_vsm4_IPS1_lh_pearson_tstat1.nii","IPS1","pearson","lh","right_lOMV","38","8.29"
"122","perm_vsm4_IPS1_rh_pearson_tstat1.nii","IPS1","pearson","rh","Unassigned","901616","0.08"
"123","perm_vsm4_IPS1_rh_pearson_tstat1.nii","IPS1","pearson","rh","right_lVIIIb","75","9.68"
"124","perm_vsm4_IPS1_rh_pearson_tstat1.nii","IPS1","pearson","rh","right_mVIIIb","159","11.7"
"125","perm_vsm4_IPS1_rh_pearson_tstat1.nii","IPS1","pearson","rh","left_mVIIIb","183","11.32"
"126","perm_vsm4_IPS1_rh_pearson_tstat1.nii","IPS1","pearson","rh","left_lVIIIb","159","9.19"
"127","perm_vsm4_IPS1_rh_pearson_tstat1.nii","IPS1","pearson","rh","left_VIIb","159","11.69"
"128","perm_vsm4_IPS1_rh_pearson_tstat1.nii","IPS1","pearson","rh","right_VIIb","124","11.43"
"129","perm_vsm4_IPS1_rh_pearson_tstat1.nii","IPS1","pearson","rh","left_mOMV","32","10.56"
"130","perm_vsm4_IPS1_rh_pearson_tstat1.nii","IPS1","pearson","rh","left_lOMV","67","8.6"
"131","perm_vsm4_IPS1_rh_pearson_tstat1.nii","IPS1","pearson","rh","right_mOMV","17","8.09"
"132","perm_vsm4_IPS1_rh_pearson_tstat1.nii","IPS1","pearson","rh","right_lOMV","38","7.73"
"133","perm_vsm4_IPS1_bilat_pearson_tstat1.nii","IPS1","pearson","bilat","Unassigned","901616","0.1"
"134","perm_vsm4_IPS1_bilat_pearson_tstat1.nii","IPS1","pearson","bilat","right_lVIIIb","75","11.5"
"135","perm_vsm4_IPS1_bilat_pearson_tstat1.nii","IPS1","pearson","bilat","right_mVIIIb","159","13.9"
"136","perm_vsm4_IPS1_bilat_pearson_tstat1.nii","IPS1","pearson","bilat","left_mVIIIb","183","13.14"
"137","perm_vsm4_IPS1_bilat_pearson_tstat1.nii","IPS1","pearson","bilat","left_lVIIIb","159","10.62"
"138","perm_vsm4_IPS1_bilat_pearson_tstat1.nii","IPS1","pearson","bilat","left_VIIb","159","12.73"
"139","perm_vsm4_IPS1_bilat_pearson_tstat1.nii","IPS1","pearson","bilat","right_VIIb","124","12.86"
"140","perm_vsm4_IPS1_bilat_pearson_tstat1.nii","IPS1","pearson","bilat","left_mOMV","32","11.84"
"141","perm_vsm4_IPS1_bilat_pearson_tstat1.nii","IPS1","pearson","bilat","left_lOMV","67","9.57"
"142","perm_vsm4_IPS1_bilat_pearson_tstat1.nii","IPS1","pearson","bilat","right_mOMV","17","9.17"
"143","perm_vsm4_IPS1_bilat_pearson_tstat1.nii","IPS1","pearson","bilat","right_lOMV","38","8.76"
